SPD tau:     0.0  storm: 91L     304.8      40.6
H       2.28     129.84      13.72    11.3517     0.6563     0.8508    
H       1.63     128.42      15.07    13.5606      2.767      10.08    
H       1.48     129.48      17.45    8.49739     0.7089      3.641    
L       0.82     130.52      16.44    1.57867     0.8985      7.749    
L       1.73     128.91      14.50    7.45016     0.5284      7.358    
L       2.51     129.95      18.50    1.93449      1.995      11.55    
L       2.86     127.02      17.04    1.25381     0.6309      4.629    
L       3.34     130.67      12.77    9.37111      1.659      2.101    
L       3.47     127.99      13.01    8.86521     0.9404E-01  2.729    
L       3.86     133.06      13.77    10.7918      1.572      2.560    
L       3.99     128.13      19.66    7.00958      1.799      3.140    
L       4.02     125.93      14.51    5.93529     0.7652      3.413    
L       5.24     135.08      14.76    12.7940     0.9467      1.948    
L       6.27     126.76      21.57    7.69384     0.9885      1.331    
L       6.34     126.22      21.35    7.72836      1.655      2.230    
L       6.92     127.03      22.41    7.79064     0.4012      1.779    
L       7.19     137.02      18.03    15.1995     0.1068     0.9797    
L       7.24     136.60      12.99    8.50609     0.8840      2.564    
L       7.78     137.68      14.37    8.63831      1.914      2.917    
L       9.08     135.17      23.55    17.3578     0.7312      1.427    
VRT tau:     0.0  storm: 09W     129.8      16.0
  13   10
H       8.99     137.01      21.86  -0.829861     0.2107     0.5348    
H       7.82     136.34      20.76  -0.710708     0.4131     0.5501    
H       7.77     137.44      13.58   -1.91763     0.4628      1.696    
H       7.69     137.51      18.20   0.300307     0.7362     0.9682    
H       7.44     137.51      15.50    1.52433     0.8883E-01  3.654    
H       6.95     125.91      21.90    4.34474     0.8730      2.370    
H       6.84     136.48      18.47   0.353721     0.1107     0.8094    
H       5.95     135.31      13.35    1.10498      1.222      1.613    
H       4.34     129.92      20.34    8.15805      1.106      2.884    
H       2.95     128.97      18.84    5.83080     0.7910      2.199    
H       2.28     132.18      16.04    12.2015      3.692      5.366    
H       1.49     130.42      17.37    10.6439      2.057      4.766    
H       1.26     129.25      14.86    5.77449      1.573      2.364    
L       1.96     127.88      16.67   -1.90473      1.192      2.251    
L       3.23     129.64      19.23    4.85128     0.9337      1.490    
L       3.59     130.80      12.55   -2.07881      2.866      4.005    
L       3.71     133.20      14.26    1.41731      3.560      4.437    
L       4.14     125.86      14.36  -0.644637     0.6643      1.172    
L       5.08     134.48      18.41   -3.77364     0.3130      2.561    
L       5.57     127.04      20.92   -1.63470     0.4738      2.370    
